Code,shannon,invsimpson,simpson,richness
S01_13,6.624921234,210.7279468,0.995254545,3319
S02_16,6.612412619,206.8666389,0.995165968,3079
S03_19,6.660852532,213.0184261,0.99530557,3935
S04_22,6.660670596,204.6908037,0.995114583,3922
S05_25,6.610965159,200.2552268,0.995006373,3196
S06_28,6.650811516,199.3211037,0.99498297,3481
S61_32,6.570679095,200.2317703,0.995005788,3250
S62_35,6.492227106,171.2796532,0.994161595,3170
S63_38,6.610986321,192.0853504,0.994793981,3657
S64_41,6.472258563,163.9981432,0.99390237,3177
S65_44,6.508823655,181.6924805,0.994496195,2985
S66_47,6.482495066,176.9068449,0.994347307,2770
S121_51,6.276072687,126.5625876,0.992098771,3040
S122_54,6.461118326,152.981516,0.993463263,3192
S123_57,6.33464845,138.925561,0.992801901,2673
S124_60,6.461987711,171.1373183,0.994156739,3180
S125_63,6.501972648,172.9753186,0.994218828,3320
S126_66,6.354386724,142.6101618,0.992987877,2773
S181_70,6.299380838,142.6450567,0.992989592,2806
S182_74,6.340643799,145.486557,0.993126513,3047
S183_78,6.282806732,150.3982913,0.993350988,2190
S184_82,6.268316226,141.1413835,0.992914906,2488
S186_90,6.289000074,140.4526045,0.992880161,2684
C01_11,6.618126448,220.6621774,0.995468186,3076
C02_14,6.627205802,211.0392142,0.995261544,3180
C03_17,6.616958194,216.0663063,0.995371791,2938
C04_20,6.626464586,215.9390134,0.995369063,3371
C05_23,6.64282171,211.0896012,0.995262675,3435
C06_26,6.679131237,216.3135142,0.99537708,3629
C61_30,6.454740875,170.0363872,0.994118906,2767
C62_33,6.484032217,172.3527945,0.994197947,3377
C63_36,6.517958468,173.4148874,0.994233482,3804
C64_39,6.476069406,167.1313828,0.994016683,3204
C65_42,6.569722189,197.0118615,0.994924163,3250
C66_45,6.482144779,172.9639397,0.994218448,3009
C121_49,5.944567725,71.55606879,0.986024945,2779
C122_52,6.187754847,96.43938571,0.989630793,3193
C123_55,6.129460077,81.26645891,0.9876948,2859
C124_58,6.028522987,75.49725694,0.986754486,2950
C125_61,6.148179467,98.94468001,0.989893342,3018
C126_64,6.347331759,150.0570832,0.993335869,2946
C181_68,6.301391773,132.3622975,0.992444979,3266
C182_72,6.000204597,83.90928977,0.988082368,2969
C183_76,5.981284335,82.44127035,0.987870153,2636
C184_80,5.578565606,50.73173796,0.980288473,2043
C185_84,6.06465526,87.82731615,0.988614021,3113
SB01_12,6.644864482,216.8611034,0.995388754,3203
SB02_15,6.615662115,211.3257259,0.995267968,3055
SB03_18,6.693987072,230.4543853,0.995660746,3595
SB04_21,6.647501683,234.8034321,0.995741118,3253
SB05_24,6.605748905,198.5726473,0.99496406,3187
SB06_27,6.640696413,215.2649379,0.995354562,3190
SB61_31,6.044228592,89.13911874,0.988781581,2371
SB62_34,6.437588979,154.2162417,0.993515599,3248
SB63_37,6.194632027,83.11680967,0.987968739,2976
SB64_40,6.117393109,87.20256759,0.988532448,3006
SB65_43,5.439797822,29.48338263,0.966082589,2809
SB66_46,6.195815665,108.2239444,0.990759901,2680
SB121_50,4.393340652,12.3958686,0.919327961,2508
SB122_53,5.630928685,52.97930909,0.981124707,2403
SB123_56,5.579522913,48.59842238,0.9794232,2752
SB124_59,5.406651319,34.08685325,0.970663176,2946
SB125_62,5.863941137,63.33020309,0.984209746,3165
SB126_65,5.738025342,57.8877987,0.982725203,2705
SB181_69,5.671023788,57.37725794,0.982571492,2642
SB182_73,5.489405912,43.16854078,0.976834983,2773
SB183_77,5.713959628,60.47881827,0.983465285,2454
SB184_81,5.467076132,44.06798428,0.977307789,2365
SB185_85,5.729472869,55.95864063,0.982129659,2789
SB186_89,5.556356149,54.34526847,0.981599134,2050